# Reconciled against Bulbapedia's `Pikachu_(TCG)` page on 2026-08-17.
# Every English card Bulbapedia lists for this Pokemon is present below, except
# the entries named under KNOWN UPSTREAM GAPS, which our data source does not
# carry at all. Those are listed rather than silently dropped.
#
# KNOWN UPSTREAM GAPS (in Bulbapedia, absent from TCGdex entirely):
#   sp 16              - Sample Set; TCGdex set exists but has no cards populated
#   tk-hs-r 2, 16      - HS Trainer Kit (Raichu); TCGdex has 1 of 30 cards populated
#   mep 093, 107, 109  - MEP Black Star Promos; not yet in TCGdex
#   30th Celebration   - 023, 028, 036, 037, 040, 041, 042, 047, 050, 053, 054,
#                        149, 150; set absent from TCGdex
#   008/034            - Pokemon TCG Classic (Charizard & Ho-Oh ex Deck)
#   Raid Battle 01     - Pikachu VMAX; set not in TCGdex

base1 58	# Base Set Pikachu
base2 60	# Jungle Pikachu
basep 1	# Wizards Black Star Promos Pikachu
basep 4	# Wizards Black Star Promos Pikachu
basep 24	# Wizards Black Star Promos ___________'s Pikachu
basep 25	# Wizards Black Star Promos Flying Pikachu
basep 26	# Wizards Black Star Promos Pikachu
basep 27	# Wizards Black Star Promos Pikachu
basep 28	# Wizards Black Star Promos Surfing Pikachu
base4 87	# Base Set 2 Pikachu
gym1 81	# Gym Heroes Lt. Surge's Pikachu
gym2 84	# Gym Challenge Lt. Surge's Pikachu
neo1 70	# Neo Genesis Pikachu
lc 86	# Legendary Collection Pikachu
ecard1 124	# Expedition Base Set Pikachu
ecard3 84	# Skyridge Pikachu
ex2 72	# Sandstorm Pikachu
np 12	# Nintendo Black Star Promos Pikachu
np 35	# Nintendo Black Star Promos Pikachu δ
ex4 43	# Team Magma vs Team Aqua Pikachu
tk-ex-latio 6	# EX trainer Kit (Latios) Pikachu
ex5.5 5	# Poké Card Creator Pack Pikachu
ex6 74	# FireRed & LeafGreen Pikachu
ex9 60	# Emerald Pikachu
pop2 16	# POP Series 2 Pikachu
ex12 93	# Legend Maker Pikachu δ
ex13 78	# Holon Phantoms Pikachu
ex13 79	# Holon Phantoms Pikachu δ
ex13 104	# Holon Phantoms Pikachu Star
pop4 13	# POP Series 4 Pikachu
ex16 57	# Power Keepers Pikachu
pop5 12	# POP Series 5 Pikachu
pop5 13	# POP Series 5 Pikachu δ
dpp DP16	# DP Black Star Promos Pikachu
dp2 94	# Mysterious Treasures Pikachu
pop6 9	# POP Series 6 Pikachu
dp5 70	# Majestic Dawn Pikachu
dp7 70	# Stormfront Pikachu
pop9 15	# POP Series 9 Pikachu
pl2 112	# Rising Rivals Pikachu
pl2 113	# Rising Rivals Flying Pikachu
pl2 114	# Rising Rivals Surfing Pikachu
pl3 120	# Supreme Victors Pikachu
pl4 71	# Arceus Pikachu
ru1 7	# Pokémon Rumble Pikachu
hgss1 78	# HeartGold SoulSilver Pikachu
hgssp HGSS03	# HGSS Black Star Promos Pikachu
hgssp HGSS18	# HGSS Black Star Promos Tropical Tidal Wave
hgss3 61	# Undaunted Pikachu
bw1 115	# Black & White Pikachu
bwp BW54	# BW Black Star Promos Pikachu
bwp BW77	# BW Black Star Promos Pikachu
bw4 39	# Next Destinies Pikachu
bw7 50	# Boundaries Crossed Pikachu
xyp XY84	# XY Black Star Promos Pikachu EX
xyp XY89	# XY Black Star Promos Pikachu
xyp XY95	# XY Black Star Promos Pikachu
xyp XY124	# XY Black Star Promos Pikachu EX
xyp XY174	# XY Black Star Promos Pikachu-EX
xyp XY202	# XY Black Star Promos Pikachu
bw11 RC7	# Legendary Treasures Pikachu
xy1 42	# XY Pikachu
2014xy 5	# McDonald's Collection 2014 Pikachu
xy3 27	# Furious Fists Pikachu
xy6 20	# Roaring Skies Pikachu
xy8 48	# BREAKthrough Pikachu
2015xy 6	# McDonald's Collection 2015 Pikachu
g1 26	# Generations Pikachu
g1 RC29	# Generations Pikachu
tk-xy-p 14	# XY trainer Kit (Pikachu Libre) Pikachu Libre
tk-xy-p 30	# XY trainer Kit (Pikachu Libre) Pikachu Libre
2016xy 6	# McDonald's Collection 2016 Pikachu
xy12 35	# Evolutions Pikachu
xy12 110	# Evolutions Flying Pikachu
xy12 111	# Evolutions Surfing Pikachu
smp SM04	# SM Black Star Promos Pikachu
smp SM76	# SM Black Star Promos Pikachu
smp SM81	# SM Black Star Promos Pikachu
smp SM86	# SM Black Star Promos Pikachu
smp SM98	# SM Black Star Promos Pikachu
smp SM108	# SM Black Star Promos Ash's Pikachu
smp SM109	# SM Black Star Promos Ash's Pikachu
smp SM110	# SM Black Star Promos Ash's Pikachu
smp SM111	# SM Black Star Promos Ash's Pikachu
smp SM112	# SM Black Star Promos Ash's Pikachu
